Time (s),Sub1 RPE,Sub2 RPE,Sub3 RPE,Sub4 RPE,Sub5 RPE,Sub6 RPE,Sub7 RPE,Sub8 RPE,Sub9 RPE,Sub10 RPE,Sub11 RPE,Sub12 RPE,Sub13 RPE,Sub14 RPE,Sub15 RPE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0.2,0,0.25,0.25,0.333333333,0,0.125,0,0.25,0,0,0,0,0.125,0.166666667
1200,0.4,0.125,0.25,0.25,0.416666667,0,0.25,0,0.25,0.2,0,0,0.166666667,0.25,0.333333333
1800,0.4,0.125,0.25,0.25,0.5,0,0.25,0.2,0.25,0.4,0.166666667,0.1,0.166666667,0.25,0.333333333
2400,0.4,0.125,0.25,0.5,0.5,0,0.375,0.2,0.5,0.6,0.166666667,0.1,0.333333333,0.375,0.5
3000,0.4,0.25,0.25,0.5,0.583333333,0,0.375,0.4,0.5,0.6,0.166666667,0.1,0.5,0.625,0.833333333
3600,0.4,0.25,0.5,0.5,0.583333333,0,0.375,0.4,0.75,0.6,0.166666667,0.2,0.666666667,0.625,0.666666667
4200,0.4,0.375,0.5,0.75,0.666666667,0,0.375,0.6,0.75,0.6,0.333333333,0.2,0.833333333,0.625,0.666666667
4800,0.6,0.5,0.5,0.75,0.666666667,0,0.375,0.6,0.75,0.8,0.333333333,0.3,0.833333333,0.625,0.666666667
5400,0.6,0.75,0.5,0.75,0.666666667,0,0.5,0.6,1,0.8,0.5,0.3,0.833333333,0.75,0.666666667
6000,0.8,0.875,0.5,0.75,0.75,0,1,0.8,0.75,0.8,0.5,0.4,1,0.75,0.666666667
6600,1,0.875,0.75,1,0.833333333,0.5,,0.8,0.75,0.8,0.5,0.4,0.833333333,0.875,0.666666667
7200,1,1,0.75,0.75,1,0.5,,0.8,1,0.8,0.666666667,0.5,0.833333333,0.875,0.666666667
7800,1,1,0.75,0.75,,1,,1,1,1,0.666666667,0.6,1,0.875,0.666666667
8400,1,1,1,0.5,,1,,1,0.75,1,0.833333333,0.7,1,0.875,0.666666667
9000,1,1,0.75,1,,1,,1,0.5,1,0.666666667,0.7,1,1,0.833333333
9600,1,1,1,0.75,,1,,1,0.75,1,0.833333333,0.8,1,1,0.833333333
10200,1,1,1,0.75,,1,,1,0.75,1,1,1,1,1,1
